name	city	state	founded	lat	long
Banko North Inc.	Jessup	Pennsylvania	2003	41.46	-75.55
Bare Bones Brewery LLC	Oshkosh	Wisconsin	2014	44.0	-88.6
Bare Cove Brewery	Hingham	Massachusetts	2016	42.22	-70.88
Barkeater Craft Brewery, LLC	Lowville	New York	2012	43.8	-75.5
Barley Island Brewing Co	Noblesville	Indiana	1999	40.1	-85.9
Barleygrail Brewing Cooperative	Hudson	Ohio	2016	41.25	-81.46
Barnstorm Brewing Company LLC	Coldwater	Ohio	2015	40.48	-84.67
Barrel House Z, LLC	Weymouth	Massachusetts	2015	42.21	-70.93
Barrier Brewing Company LLC	Long Beach	New York	2012	40.6	-73.64
Basement LLC	Worcester	Massachusetts	2015	42.26	-71.8
Bass Lake Brewing, LLC	Ludington	Michigan	2017	44.0	-86.4
Battlefield Brew Works	Gettysburg	Pennsylvania	2013	39.8	-77.2
Bavarian Birehaus Brauaus Milw	Glendale	Wisconsin	2016	43.14	-87.92
Bayfront Brewing Co	Meadville	Pennsylvania	2008	41.6	-80.2
Bb Brewing Company Inc	Malvern	Pennsylvania	1996	40.04	-75.53
BBC Keg Company, LLC	Boston	Massachusetts	2002	42.35	-71.04
Bear Bones, Inc.	Lewiston	Maine	2013	44.1	-70.2
Bear Hands Brewing Company, Inc	Central Village	Connecticut	2016	41.69	-71.91
Beer 4 Less	Zelienople	Pennsylvania	2007	40.77	-80.12
Beer Baron, LLC	Indianapolis	Indiana	2010	39.87	-86.01
Beer Brothers	Easton	Pennsylvania	2010	40.65	-75.22
Beer Hitch Enterprises Inc	Fort Wayne	Indiana	2005	41.16	-85.06
Beer To Go Inc	Easton	Pennsylvania	2008	40.65	-75.22
Beercation, LLC	Pembroke	New Hampshire	2016	43.2	-71.4
Belfast Bay Brewing Company Inc	Belfast	Maine	1996	44.5	-69.1
Bell's Brewery, Inc.	Galesburg	Michigan	1983	42.29	-85.4
Bell's Brewery, Inc.	Kalamazoo	Michigan	1983	42.3	-85.6
Associated Microbreweries, Inc.	San Diego	California	1989	32.72	-117.18
Benny Brewing Company LLC	Hanover Township	Pennsylvania	2016	41.22	-75.9
Bent Frame Brewing	Madison	Wisconsin	2016	43.07	-89.46
Bent River Brewing Co.	Moline	Illinois	1995	41.48	-90.49
Millercoors LLC	Denver	Colorado	1855	39.82	-105.01
Bent Water Brewing Co	Lynn	Massachusetts	2016	42.47	-70.97
Berghoff Brewery	Chicago	Illinois	2018	41.9	-87.69
Berkshire Brewing Company, Inc.	South Deerfield	Massachusetts	1992	42.47	-72.61
Bernies Beer & Beverage Inc	Philadelphia	Pennsylvania	2005	40.02	-75.09
Berry's Beverage Inc	Emlenton	Pennsylvania	2008	41.2	-79.7
Best Beers, LLC	Bloomington	Indiana	2003	39.1	-86.6
Better World Spirits Inc	York	Pennsylvania	2015	39.96	-76.73
Beverage 364	Gibsonia	Pennsylvania	2015	40.64	-79.94
Biere De Mac Brew Works, LLC	Mackinaw City	Michigan	2015	45.75	-84.73
Big Boiler Brewing LLC	Lowell	Michigan	2015	43.0	-85.3
Big Boy's Beer	Leechburg	Pennsylvania	2003	40.64	-79.61
Big Daddy Brews LLC	East Kingston	New Hampshire	2016	42.91	-70.97
Big Valley Beverage Inc	Reedsville	Pennsylvania	2000	40.68	-77.63
Bigelow Brewing Company	Skowhegan	Maine	2015	44.8	-69.7
Bighead Brewing Co LLC	Libertyville	Illinois	2004	42.29	-87.96
Biloba Brewing Company	Brookfield	Wisconsin	2015	43.06	-88.16
Binghamton Brewing Company, LLC	Johnson City	New York	2012	42.16	-76.0
Bird Rare Holdings LLC	Holland	Michigan	2016	42.7	-86.1
Birdfish Brewing Company, LLC	Columbiana	Ohio	2014	40.9	-80.7
Black Bear Microbrew	Orono	Maine	2018	44.88	-68.72
Black Bottom Brewing Company, Inc.	Detroit	Michigan	2016	42.33	-83.08
Black Cloister Brewing Company, LLC	Toledo	Ohio	2014	41.65	-83.54
Black Frog Brewery LLC	Holland	Ohio	2014	41.63	-83.75
Black Hat Brew Works	Bridgewater	Massachusetts	2018	41.97	-70.98
Black River Brewing Co Inc	Watertown	New York	2007	44.0	-75.9
Black River Oar House Inc	Port Huron	Michigan	1996	42.99	-82.47
Millercoors LLC	Milwaukee	Wisconsin	1855	43.04	-87.97
Bloomer Brewery LLC	Eau Claire	Wisconsin	2014	44.8	-91.5
Bloomer Brewing Co	Bloomer	Wisconsin	2015	45.1	-91.5
Bloomer Brewing Company, LLC	Bloomer	Wisconsin	2011	45.1	-91.5
Blue Island Beer Co	Blue Island	Illinois	2014	41.65	-87.68
Bob C. Beverages, LLC	Wheeling	Illinois	2009	42.13	-87.92
Bog Iron Brewing LLC	Norton	Massachusetts	2012	41.96	-71.18
Boneshire Brew Works	Harrisburg	Pennsylvania	2016	40.27	-76.79
Bonn Place Brewing, Inc.	Bethlehem	Pennsylvania	2015	40.59	-75.35
Bookhouse Brewing, LLC	Cleveland	Ohio	2017	41.48	-81.7
Boston Beer Company	Brooklyn	New York	2015	40.58	-73.99
Boston Beer Corporation	Boston	Massachusetts	2000	42.35	-71.04
Brainard Brewing, LLC	Mystic	Connecticut	2007	41.37	-71.98
Brazen Street LLC	Brooklyn	New York	2008	40.67	-73.9
Breakaway Brew Haus LLC	Bolton	Connecticut	2016	41.77	-72.44
Breaker Brewing Co LLC	Wilkes Barre	Pennsylvania	2007	41.2	-75.8
Breakroom Brewery	Chicago	Illinois	2014	41.95	-87.7
Brew & Bronze	Gladstone	Michigan	2005	45.9	-87.1
Brew By You	Auburn	New York	1996	42.9	-76.6
Brew City Barkery LLC	New Berlin	Wisconsin	2016	42.97	-88.1
Brew Cleveland LLC	North Olmsted	Ohio	2015	41.42	-81.92
Brew Detroit LLC	Detroit	Michigan	2012	42.33	-83.08
BREW EXPERIENCE	Morristown	New Jersey	2017	40.78	-74.5
Brew Kettle Inc	Strongsville	Ohio	1995	41.31	-81.81
Brew Kettle Strongsville LLC	Medina	Ohio	2013	41.1	-81.9
Brew Monkeys LLC	Cincinnati	Ohio	2012	39.11	-84.49
Brewchacho LLC	Cincinnati	Ohio	2016	39.16	-84.37
Brewer's Apprentice, The Inc	Freehold	New Jersey	1996	40.2	-74.3
John Harvard's Brewhouse, Llc	Framingham	Massachusetts	1992	42.32	-71.43
Brewery Creek Brewing Company	Mineral Point	Wisconsin	1997	42.8	-90.1
Brewery Legitimus LLC	Canton	Connecticut	2015	41.86	-72.91
Brewery Ommegang Ltd.	Cooperstown	New York	1997	42.7	-74.9
Brewery Real Estate Partnership	Columbus	Ohio	2008	39.97	-83.03
Brewfarm Enterprises LLC	Wilson	Wisconsin	2008	44.92	-92.2
Brewing On Front LLC	Collegeville	Pennsylvania	2015	40.18	-75.43
Brewmasters Brewing Services, LLC	Williamsburg	Massachusetts	2016	42.4	-72.8
Brewskees of Shiloh	York	Pennsylvania	2011	39.94	-76.81
Brick and Barrel	Cleveland	Ohio	2014	41.48	-81.7
Brick Road Brewery Corp	La Porte	Indiana	1996	41.6	-86.7
Brighton Beverage Corporation	Norwood	Massachusetts	2010	42.18	-71.2
Brinx Jones Brewing Company LLC	Haddonfield	New Jersey	2016	39.9	-75.04
Anheuser-Busch, LLC	Saint Louis	Missouri	1852	38.59	-90.22
Brix City Brewing	Little Ferry	New Jersey	2015	40.84	-74.04
Broadway Brewing Corp	Jamaica	New York	1996	40.66	-73.82
Broken Bat Brewing Company LLC	Milwaukee	Wisconsin	2015	42.97	-87.9
Pyramid Breweries Inc.	Seattle	Washington	1984	47.57	-122.34
Brook Broad Brewing LLC	East Windsor	Connecticut	2015	41.9	-72.59
Brookline Bench Brewing Co., LLC	Cincinnati	Ohio	2017	39.1	-84.58
Bruce Perry	Woodville	New York	2004	43.8	-76.2
Brufist, LLC	Bowling Green	Ohio	2016	41.4	-83.7
Bucks County Brewing and Distilling LLC	Pipersville	Pennsylvania	2014	40.43	-75.12
Bucks County Brewing Co Inc	Lambertville	New Jersey	1996	40.37	-74.9
Buddys Brews	Lemont Furnace	Pennsylvania	2007	39.93	-79.66
Bull Falls Brewery LLC	Wausau	Wisconsin	2008	45.0	-89.5
Bullock & Block Ltd	Rutland	Vermont	1989	43.6	-72.9
Burgie Brauerei Inc	Newark	Ohio	1995	40.1	-82.4
Burke's Brewing Company, Inc	Watertown	Massachusetts	2017	42.37	-71.18
Burlington Beer Company	Williston	Vermont	2012	44.42	-73.09
Busted Hump Brewing	West Simsbury	Connecticut	2016	41.87	-72.86
Buttonwoods Craft Brewing LLC	Cranston	Rhode Island	2016	41.78	-71.43
Buzzards Bay Brewing Inc	Westport	Massachusetts	1997	41.6	-71.1
Byway Brewing Company LLC	Munster	Indiana	2014	41.55	-87.5
C and D Stoney Tavern Ltd.	Findlay	Ohio	2018	41.0	-83.7
C&D Brew U Sports Pub LLC	Findlay	Ohio	2015	41.0	-83.7
Calumet Breweries Inc	Hammond	Indiana	1930	41.61	-87.49
Cambridge Brewing Co Inc	Cambridge	Massachusetts	1989	42.36	-71.1
Canal Street Brewing Co., L.L.C.	Grand Rapids	Michigan	1996	42.95	-85.67
Cape Ann Brewing Company, Inc.	Gloucester	Massachusetts	2002	42.63	-70.69
Cape Cod Beer, Inc.	Barnstable	Massachusetts	2005	41.7	-70.3
Pyramid Breweries Inc.	Walnut Creek	California	1984	37.89	-122.04
Cape May Brewing Limited Liability Company	Cape May	New Jersey	2007	38.97	-74.9
Capital Brewery Company, Inc.	Middleton	Wisconsin	1984	43.1	-89.51
Capitol Distributors Inc	Concord	New Hampshire	2011	43.2	-71.5
Captain Lawrence Brewing, LLC	Pleasantville	New York	2005	41.13	-73.79
Carbondale Craft Beer LLC	Carbondale	Illinois	2011	37.67	-89.27
Carey House Cider and Brew Company LLC	Highland	New York	2016	41.7	-74.0
Carlyle Brewing Co	Rockford	Illinois	2004	42.25	-89.08
Carry Grandview Out	Columbus	Ohio	2008	39.97	-83.03
Carton Brewing Company LLC	Atlantic Highlands	New Jersey	2010	40.4	-74.04
Cartoon Brew	Brooklyn	New York	2016	40.65	-73.98
Castle Island Brewing Company, LLC	Norwood	Massachusetts	2014	42.18	-71.2
Caulfield's Restaurant Ltd	Flossmoor	Illinois	1996	41.54	-87.68
Central Waters Brewing Co., Inc.	Amherst	Wisconsin	2000	44.41	-89.32
Chapel House Brewery LLC	Livonia	Michigan	2016	42.4	-83.38
Chapman's Cider Company LLC	Angola	Indiana	2012	41.7	-85.0
Charter Oak Brewing Company LLC	New Canaan	Connecticut	2011	41.16	-73.5
Chelsea Brewing Company, L.L.C.	New York	New York	1995	40.74	-74.0
Chelsea Craft Brewing Company, LLC	Bronx	New York	2016	40.85	-73.9
Chester County Brewing Company Inc	Downingtown	Pennsylvania	2001	40.0	-75.7
Chester Haymore	East Saint Louis	Illinois	1983	38.6	-90.11
Chocolay River Brewery LLC	Marquette	Michigan	2013	46.6	-87.3
Choi and Park Inc	Emmaus	Pennsylvania	2016	40.52	-75.5
Millercoors LLC	Milwaukee	Wisconsin	1855	43.04	-87.97
Churchkey Farms, LLC	Deerfield	Michigan	2014	41.9	-83.8
Cicerone Certification Program	Chicago	Illinois	2014	41.95	-87.65
Cintron Beverage Group, LLC	Philadelphia	Pennsylvania	2006	39.89	-75.24
Cisco Brewers, Inc.	Nantucket	Massachusetts	1995	41.3	-70.1
City Beverage LLC	Markham	Illinois	2002	41.6	-87.68
City Brewing	Latrobe	Pennsylvania	2008	40.3	-79.4
City Brewing Company LLC	Latrobe	Pennsylvania	1932	40.3	-79.4
City Brewing Company, LLC	La Crosse	Wisconsin	2000	43.8	-91.2
Civilian Brewing Corps LLC	Bloomington	Indiana	2016	39.1	-86.6
Clarion River Brewing Co	Clarion	Pennsylvania	2016	41.2	-79.4
Climax Brewing Co Inc	Roselle Park	New Jersey	1995	40.67	-74.27
Cmb Cincinnati, LLC	Middletown	Ohio	2003	39.44	-84.38
Cnc Malting Company	Fenelton	Pennsylvania	2016	40.86	-79.74
Cnc Malting Company, LLC	Butler	Pennsylvania	2015	40.8	-79.9
Coastal Extreme Brewing Co, LLC	Newport	Rhode Island	1998	41.49	-71.32
Cobblehaus Brewing Co	Coraopolis	Pennsylvania	2016	40.5	-80.19
Cochraton Beverage	Cochranton	Pennsylvania	1997	41.5	-80.1
Cody Brewing Company	Amesbury	Massachusetts	2010	42.85	-70.95
Cold Brew Coffee Company LLC	Cheshire	Connecticut	2016	41.51	-72.91
Collar Cold Brew LLC	New York	New York	2015	40.73	-73.98
Colleagues of Beer, Inc.	Grayslake	Illinois	2012	42.34	-88.06
Columbus Kombucha Company, LLC	Columbus	Ohio	2011	40.08	-82.98
Common Crossing, Inc.	Berkley	Massachusetts	2010	41.83	-71.06
Common Culture Brewing Co.	Evanston	Illinois	2013	42.03	-87.69
Community Beer Works LLC	Buffalo	New York	2010	42.92	-78.89
Conscious Mind Products LLC	Vernon Hills	Illinois	2018	42.24	-87.96
Conshohocken Brewing Company	Havertown	Pennsylvania	2017	39.98	-75.31
Conshohocken Brewing Company	Phoenixville	Pennsylvania	2017	40.13	-75.53
Cooked River Brewing Co LLC	Cleveland	Ohio	2005	41.52	-81.67
Cooper's Cave Ale Company Ltd (s-Corp)	Glens Falls	New York	1999	43.31	-73.64
Cooperstown Brewing Company LLC	Oneonta	New York	1995	42.5	-75.1
Copper City of Rome Brewing Company LLC	Rome	New York	2016	43.2	-75.5
Core 3 Brewery Limited Liability Company	Franklinville	New Jersey	2015	39.62	-75.02
Corner Brewery, LLC	Ypsilanti	Michigan	2006	42.27	-83.6
Costar Brewing, Inc.	Pittsburgh	Pennsylvania	2011	40.47	-79.91
Associated Microbreweries, Inc.	San Diego	California	1989	32.9	-117.21
Cox Brewing Company Inc.	Mount Joy	Pennsylvania	2013	40.11	-76.51
Craft Beer Guild Distributing of Vermont LLC	Kingston	Massachusetts	2010	41.98	-70.75
Gordon Biersch Brewing Company	San Jose	California	1988	37.34	-121.88
Craft Brewing Consultants Inc	Murrysville	Pennsylvania	2005	40.46	-79.66
Crafted Pints Brewing Company LLC	Dayton	Ohio	2014	39.84	-84.11
Cranberry Beverage Corp	Franklin	Pennsylvania	2001	41.4	-79.8
Crazy Cowboy Brewing Company LLC	Woodbury	New York	2015	40.82	-73.47
Crazy Winds Brewing	Dayton	Ohio	2015	39.74	-84.08
Crown Brewing LLC	Crown Point	Indiana	2007	41.4	-87.3
Crue Brew Brewery LLC	Raynham	Massachusetts	2015	41.94	-71.06
Crystal Lake Beer Company	Crystal Lake	Illinois	2013	42.23	-88.31
Curran Brewing Company LLC	Madison Township	Pennsylvania	2014	41.3	-75.5
Custom Brewcrafters Inc	Honeoye Falls	New York	1997	43.0	-77.6
D & H Inc	Middletown	Rhode Island	1952	41.52	-71.28
D. G. Yuengling and Son, Incorporated	Pottsville	Pennsylvania	1829	40.7	-76.3
Dayton Heidelberg Distributing Co.	Lorain	Ohio	1938	41.43	-82.22
Dando Brewing Company, LLC	Vicksburg	Michigan	2016	42.1	-85.5
Daredevil Brewing Co	Indianapolis	Indiana	2015	39.79	-86.25
Dark City Brewery LLC	Asbury Park	New Jersey	2016	40.25	-74.05
Das Big Dawg Brewhaus, LLC	Richmond	Indiana	2011	39.8	-84.9
Tavistock Restaurants LLC	Indianapolis	Indiana	2003	39.77	-86.16
Ddf.g, LLC	Saint Albans	Vermont	2005	44.8	-73.1
Deciduous Brewing Co., LLC	Stratham	New Hampshire	2018	43.01	-70.9
Definitive Brewing Company, LLC	Portland	Maine	2017	43.69	-70.29
Dept 28 Inc	Schaumburg	Illinois	2010	42.04	-88.05
Desi S Interstate Beer	Erie	Pennsylvania	2012	42.07	-80.17
Destihl Brewery, LLC	Bloomington	Illinois	2015	40.47	-88.96
Detroit Cycle Pub LLC	Macomb	Michigan	2016	42.65	-82.93
Detroit Rivertown Brewing Compay LLC	Detroit	Michigan	2004	42.35	-83.0
Devil's Belt Brewing Company LLC	Wallingford	Connecticut	2016	41.46	-72.81
Dewalt Brewing Company	Reading	Pennsylvania	2016	40.33	-75.86
DG BREWING COMPANY LLC	Ada	Michigan	2015	43.0	-85.5
Diageo Investment Corporation	Norwalk	Connecticut	2007	41.14	-73.41
Dinos Drive Thru LLC	Wooster	Ohio	2009	40.8	-82.0
Dirftless Distillery	Baraboo	Wisconsin	2015	43.5	-89.7
District Brewing Co, Inc	Columbus	Ohio	1988	39.96	-83.09
Dj Liquors Inc.	Davis Junction	Illinois	2014	42.11	-89.09
Dockside	South Bend	Indiana	2015	41.66	-86.26
Door County Brewing Co., LLC	Baileys Harbor	Wisconsin	2013	45.1	-87.1
Dorchester Beer Holdings LLC	Boston	Massachusetts	2015	42.32	-71.0
Downeast Cider House, LLC	Boston	Massachusetts	2011	42.37	-71.02
Dragon Mead LLC	Warren	Michigan	1997	42.47	-83.0
Draught Horse Group LLC	New Hudson	Michigan	2015	42.5	-83.62
Drewrys Brewing Company	Mchenry	Illinois	2012	42.34	-88.28
Driftless Brewing Company, LLC	Soldiers Grove	Wisconsin	2011	43.4	-90.8
Drink Local Draft Service	Cincinnati	Ohio	2016	39.26	-84.53
Drinkgp, LLC	Indianapolis	Indiana	2016	39.87	-86.1
Ds Brewing Company	Philadelphia	Pennsylvania	2000	39.97	-75.12
Dscc Ventures, LLC	Long Island City	New York	2015	40.74	-73.94
Durr Distributing LLC	Indianapolis	Indiana	2014	39.9	-86.3
Duvel Mortgage USA Inc.	Cooperstown	New York	2015	42.7	-74.9
Dyckman Brewing Company Inc	Bronx	New York	2013	40.82	-73.92
Eagles Club	Mcconnelsville	Ohio	1935	39.7	-81.8
Earnest Brew Works	Toledo	Ohio	2016	41.6	-83.67
Earth Rider Brewing, LLC	Superior	Wisconsin	2015	46.6	-92.1
East Coast Brewing Co LLC	Point Pleasant Beach	New Jersey	2010	40.08	-74.06
East End Brewing Company, Inc.	Pittsburgh	Pennsylvania	2006	40.45	-79.9
East Falls Beverage, LLC	Philadelphia	Pennsylvania	2015	40.01	-75.18
East Rock Brewing	Cheshire	Connecticut	2015	41.51	-72.91
Easton Beer	Glenside	Pennsylvania	2008	40.1	-75.18
Easton Brewing Company LLC	Easton	Connecticut	2015	41.27	-73.31
Eastwood Brewing Co.	Syracuse	New York	2018	43.07	-76.11
Elk Brewing	Comstock Park	Michigan	2017	43.08	-85.68
Ellicottville Brewing West	Fredonia	New York	2005	42.4	-79.3
Elmhurst Brewing	Elmhurst	Illinois	2016	41.89	-87.94
Elmhurst Brewing Co	Elmhurst	Illinois	2016	41.89	-87.94
Empire Brewing Company, Inc.	Syracuse	New York	2006	43.04	-76.15
Equilibrium Brewery, LLC	Middletown	New York	2014	41.4	-74.5
Fabiano Brothers Development - Wisconsin, LLC	Bay City	Michigan	2012	43.6	-83.9
Fancy Giraffe Brewing LLC	South Windsor	Connecticut	2015	41.83	-72.57
Farm Coast Brewery LLC	Tiverton	Rhode Island	2015	41.61	-71.17
Farm To Fist Brewing, LLC	Columbus	Ohio	2017	39.99	-83.0
Fifty West Brewing Company	Cincinnati	Ohio	2012	39.16	-84.37
Figure Eight Brewing LLC	Valparaiso	Indiana	2010	41.5	-87.0
Finch's Beer Company, LLC	Chicago	Illinois	2009	41.88	-87.69
Finestkind Brewing	Hampton	New Hampshire	1994	42.91	-70.81
Firewalker's Small Batch Distillery, LLC	Coplay	Pennsylvania	2015	40.68	-75.53
Five Burroughs Brewing Co.	Brooklyn	New York	2017	40.64	-74.02
Fixture Brewing Company	Waukesha	Wisconsin	2012	43.03	-88.29
Fizzics Group L.L.C.	Wall Township	New Jersey	2016	40.2	-74.17
Floyd County Brewing Company L	New Albany	Indiana	2015	38.3	-85.8
Flying Bison Brewing Company	Buffalo	New York	1995	42.86	-78.83
Foam Brewers	Burlington	Vermont	2015	44.48	-73.2
Folksbier Brauerei L.L.C.	Brooklyn	New York	2012	40.68	-74.0
Forbidden Root, A Benefit LLC	Chicago	Illinois	2013	41.91	-87.61
Forgottonia Brewing LLC	Macomb	Illinois	2018	40.4	-90.6
Form Rare Brewing Company	Troy	New York	2015	42.7	-73.6
Foundation Brewing Company	Portland	Maine	2012	43.69	-70.29
Anheuser-Busch, LLC	Saint Louis	Missouri	1852	38.55	-90.32
Four Mile Brewing, LLC	Olean	New York	2012	42.1	-78.4
Four Points Bbq & Brewing Inc	Charleroi	Pennsylvania	2016	40.14	-79.93
Fox River Brewing Company	Appleton	Wisconsin	2005	44.3	-88.4
Fox River Brewing Company LLC	Oshkosh	Wisconsin	2013	44.07	-88.52
Frankenmuth Brewery, LLC	Frankenmuth	Michigan	1987	43.36	-83.74
Freedom Beverage Company, LLC	New York	New York	2012	40.75	-73.973
Fresar Inc DBA Kozy Yak	Rosholt	Wisconsin	2012	44.7	-89.4
Front Porch Brewing	Wallingford	Connecticut	2017	41.46	-72.81
Frost Beer Works, LLC	Hinesburg	Vermont	2014	44.32	-73.09
Fulton Street Brewery, LLC	Chicago	Illinois	2006	41.88	-87.69
Funk Brewing Company LLC	Elizabethtown	Pennsylvania	2016	40.2	-76.6
Furthermore Brewing, LLC	Spring Green	Wisconsin	2006	43.2	-90.1
Geisler's Liquor Store	Thorofare	New Jersey	1935	39.86	-75.18
Generations Brewing Company	Lancaster	Pennsylvania	2015	40.1	-76.3
Gentle Giant Brewing Company LLC	Pearl River	New York	2016	41.06	-74.02
Geoffrey Sullivan	Salem	Illinois	2013	38.6	-88.9
Ghost Island Brewery	New Buffalo	Michigan	2017	41.79	-86.74
Gilded Otter Brewing Co.	New Paltz	New York	1996	41.8	-74.1
Ginger Windmill Brew LLC	Geneva	Illinois	2016	41.89	-88.31
Gjs Sales, Inc.	Milwaukee	Wisconsin	1998	43.02	-87.93
Glazer's Stoller Distributing, LLC	Franklin Park	Illinois	2013	41.93	-87.89
Good Nature Brewing, Inc.	Hamilton	New York	2011	42.82	-75.54
Goose Holdings, Inc.	Chicago	Illinois	1994	41.88	-87.69
Gordon James LLC	Staten Island	New York	2014	40.63	-74.1
Gpbc Inc	Ann Arbor	Michigan	1994	42.27	-83.71
Grand Junction Brewery	Westfield	Indiana	2018	40.04	-86.17
Gray Brewing Co.	Janesville	Wisconsin	1993	42.7	-89.1
Great Brew Swag LLC	Green Bay	Wisconsin	2015	44.6	-88.1
Great Lakes Brewing News	East Amherst	New York	1992	43.04	-78.7
Great Rhythm Brewing Company LLC	Portsmouth	New Hampshire	2012	43.07	-70.8
Great South Bay Brewery Corp	Bay Shore	New York	2008	40.71	-73.24
Green Bay Brewing Company	Green Bay	Wisconsin	1995	44.49	-88.07
Millercoors LLC	Fort Worth	Texas	1855	32.64	-97.33
Green Lion Brewing Company, LLC	Pittsfield	Massachusetts	2013	42.5	-73.3
Greenpoint Beerworks Inc	New York	New York	2004	40.76	-73.99
Green's Pine Avenue Beer Distributors	Erie	Pennsylvania	1999	42.11	-80.05
Grist House Brewing	Pittsburgh	Pennsylvania	2017	40.5	-79.97
Group Martin LLC Jj	Newark	New Jersey	2014	40.7	-74.17
Guinness America, Inc.	Norwalk	Connecticut	2007	41.14	-73.41
Guys Brewing Gear	Kent	Ohio	2015	41.14	-81.33
Guys Round Brewing Company	Lansdale	Pennsylvania	2011	40.23	-75.29
Hackamore Inc	New York	New York	2015	40.75	-73.99
Half Acre Beer Company	Chicago	Illinois	2006	41.95	-87.7
Hanover Brewing Co, LLC	Hanover	Pennsylvania	2006	39.8	-77.0
Hansa Bewery LLC	Cleveland	Ohio	2012	41.48	-81.7
Hardcore Brewing Company	Seneca	Illinois	2014	41.3	-88.6
Hardwick Sugar Shack	Hardwick	Massachusetts	2008	42.38	-72.19
Harlem Brewing Company	New York	New York	2010	40.801	-73.953
Harper Lane Brewery LLC	Middleboro	Massachusetts	2016	41.9	-70.9
Harville Associates Inc	Harper Woods	Michigan	1997	42.44	-82.93
Headquarters Pub LLC	Atlantic City	New Jersey	1998	39.39	-74.45
Heartland Brewe	Port Chester	New York	2016	41.02	-73.68
Heartland Malting LLC	Tiffin	Ohio	2016	41.1	-83.2
Heavier Than Air Brewing Co LLC	Miamisburg	Ohio	2016	39.64	-84.27
Heileman Brewing Company, Inc	La Crosse	Wisconsin	1996	43.8	-91.2
Heller Brewing Co LLC	Sussex	Wisconsin	2006	43.15	-88.25
Here and Now Brewing Company, LLC	Honesdale	Pennsylvania	2014	41.6	-75.3
High Falls Brewing Company, LLC	Rochester	New York	1986	43.17	-77.6
High Falls Operating Co, LLC	Rochester	New York	2008	43.17	-77.6
High Jinx Brewing Company LLC	Providence	Rhode Island	2010	41.84	-71.44
High Point Brewing Co Inc	Butler	New Jersey	1996	40.99	-74.38
Highway Manor Brewing	Camp Hill	Pennsylvania	2017	40.24	-76.93
Hill Farmstead, LLC	Greensboro Bend	Vermont	2007	44.57	-72.22
Hill, James R & Hill, Earley W	Albany	Ohio	2009	39.2	-82.2
Hired Hand Brewing	Vergennes	Vermont	2016	44.1	-73.3
Hirth Brothers Brews LLC	Utica	Michigan	2017	42.64	-83.05
Hobbs Tavern and Brewing Company LLC	West Ossipee	New Hampshire	2014	43.81	-71.23
Hofbrauhaus of America LLC	Vassar	Michigan	2018	43.4	-83.6
Holy Water Distillery LLC	Lewisberry	Pennsylvania	2016	40.13	-76.88
Home Brew Camo LLC	Fombell	Pennsylvania	2015	40.83	-80.2
Homestead Beer Company	Heath	Ohio	2012	40.0	-82.4
Homestead Hard Cider LLC	Attleboro	Massachusetts	2013	41.94	-71.29
Honest Weight Artisan Beer, LLC	Orange	Massachusetts	2013	42.6	-72.3
Hoosier Brewhouse LLC	Fairland	Indiana	2016	39.62	-85.88
Hop Butcher For The World, LLC	Darien	Illinois	2014	41.74	-87.99
Hop Tree Brewing Ltd	Stow	Ohio	2016	41.18	-81.45
Hops Brewhouse LLC	Pine Bush	New York	2015	41.6	-74.3
Hopsters Brew and Boards	Boston	Massachusetts	2018	42.35	-71.04
Hoptron Brewtique	Patchogue	New York	2012	40.7	-73.0
Hornell Brewing Co Inc	White Plains	New York	2002	41.01	-73.74
Horns & Halos Craft Brewing LLC	Caledonia	New York	2016	42.9	-77.8
Horny Goat Brewing Co.	Milwaukee	Wisconsin	2009	43.02	-87.93
Horsehead Brewering Inc	Horseheads	New York	2007	42.2	-76.8
Hubbleton Brewing Company LLC	Waterloo	Wisconsin	2016	43.2	-89.0
Hughes Brewing & Beverages	La Crosse	Wisconsin	2006	43.8	-91.2
Hunterdon Brewing Company LLC	Whitehouse Station	New Jersey	1996	40.61	-74.76
Hyde Park Brewing Co Inc	Hyde Park	New York	1995	41.79	-73.89
Icarus Brewing	Lakewood	New Jersey	2017	40.07	-74.21
Icb Acquisitions, LLC	Pittsburgh	Pennsylvania	2010	40.47	-79.95
ICEE Company	Runnemede	New Jersey	2015	39.85	-75.08
Im A Beer Hound	Lansing	Michigan	2010	42.73	-84.63
Independent Brewers United Corporation	Burlington	Vermont	2008	44.48	-73.2
Independent Brewers United Corporation	Rochester	New York	2017	43.17	-77.6
Independent Brewers United, Inc.	Burlington	Vermont	2014	44.48	-73.2
Independent Fermentations Brewing, LLC	Plymouth	Massachusetts	2014	41.9	-70.6
Indian Ladder Farmstead Brewery and Cidery LLC	Altamont	New York	2014	42.7	-74.0
Indiebrew, Llc.	Indianapolis	Indiana	2008	39.81	-86.32
INTERNET 2001	New York	New York	2017	40.8	-73.97
Iron Raven LLC	Washington	Michigan	2015	42.78	-83.04
Irongate V LLC	Valparaiso	Indiana	2015	41.5	-87.1
Jackie O'S Pub Brewery	Athens	Ohio	2018	39.3	-82.1
Jackie Os Pub Brewery LLC	Athens	Ohio	2015	39.3	-82.1
Jacob Leinenkugel Brewing Co., LLC	Chippewa Falls	Wisconsin	1867	44.9	-91.4
Jalajas & Associates Computing, Inc.	Smithtown	New York	2016	40.86	-73.21
