name	city	state	founded	lat	long
Coors Brewing Co	Denver	Colorado	2014	39.75	-105.0
American Craft Brewery LLC	Breinigsville	Pennsylvania	1984	40.55	-75.66
Coors Brewing Company	Golden	Colorado	1990	39.7	-105.2
Great Bay Distributors, Inc.	Holiday	Florida	1968	28.19	-82.72
The Boston Beer Company Inc	Breinigsville	Pennsylvania	1984	40.55	-75.66
Coro, LLC	Arvada	Colorado	2008	39.81	-105.12
Council Brewery	Surprise	Arizona	2017	33.6	-112.38
Crazy Mountain Brewing Company, LLC	Avon	Colorado	2009	39.63	-106.52
Creekside Kitchen	Flagstaff	Arizona	1994	35.2	-111.8
Db Kelly De Vargas Inc	Albuquerque	New Mexico	1996	35.14	-106.52
DC Brewery Capital Management	Centennial	Colorado	2015	39.58	-104.96
Deering Brewing Co LLC	Queen Creek	Arizona	2007	33.3	-111.5
Del Maguey Inc	Ranchos De Taos	New Mexico	1995	36.3	-105.6
Demon Spawn Ale Works, LLC	Aurora	Colorado	2015	39.7	-104.84
Devils Head Distillery LLC	Englewood	Colorado	2015	39.65	-105.01
Dillinger Brewing Company, LLC	Tucson	Arizona	2015	32.27	-111.0
Distillery 365	Albuquerque	New Mexico	2015	35.14	-106.65
Dog and Pony Brew Co. LLC	Tempe	Arizona	2014	33.44	-111.93
Dolores River Brewery LLC	Dolores	Colorado	1998	37.5	-108.3
Dragoon Brewing Company	Tucson	Arizona	2011	32.24	-111.07
Dry Lands Brewing Company LLC	Lovington	New Mexico	2016	32.9	-103.4
DSB Brewing Co., LLC	Queen Creek	Arizona	2007	33.2	-111.6
Duel Brewing Company	Santa Fe	New Mexico	2014	35.6	-106.1
Duel Overground, LLC	Albuquerque	New Mexico	2016	35.07	-106.64
East West Beer Exchange	Colorado Springs	Colorado	2017	38.88	-104.82
Eddie McStiff's, Inc.	Moab	Utah	1991	38.6	-109.4
Eight Bit Brewing	Avondale	Arizona	2015	33.42	-112.32
El Buzo Brewery LLC	Boise	Idaho	2013	43.7	-116.1
Elevation 5003 Distillery, LLC	Fort Collins	Colorado	2015	40.52	-105.02
Elk Ridge Brewing Company, LLC	Deer Lodge	Montana	2013	46.4	-112.7
Epic Brewing Company, L.L.C.	Salt Lake City	Utah	2010	40.76	-111.88
Erway Brewing Services LLC	Albuquerque	New Mexico	2015	35.14	-106.65
Estes Park Brewery, Inc	Estes Park	Colorado	1994	40.4	-105.6
Factotum Brewhouse	Denver	Colorado	2018	39.76	-105.02
Fbbc, LLC	Golden	Colorado	2014	39.8	-105.3
