year	500+	100-499	20-99	10-19	5-9	0-4
2007	68868	42823	31925	27941	21438	34220
2008	69191	41643	32667	22736	22231	35538
2009	67964	43592	31994	28181	24308	40054
2010	64842	62502	33417	30395	27057	48916
2011	65468	48940	42771	27540	24637	48704
2012	67884	52415	32255	27126	25582	45388
2013	67242	51356	33171	26741	26190	56995
2014	69132	46592	32803	26133	24168	49473
2015	70161	49220	32582	26605	24967	59674
2016	70869	46060	30702	26005	22816	49963
